Overs,Mdns,Runs,Wkts,Econ,Ave,SR,Opposition,Ground,StartDate,Player
55,18,142,3,2.58,47.33,110,New Zealand,Perth,12 Nov 1993,mcgrath
41,8,111,3,2.7,37,82,New Zealand,Brisbane,3 Dec 1993,mcgrath
33,8,62,2,1.87,31,99,South Africa,Sydney,2 Jan 1994,mcgrath
42.1,10,91,4,2.15,22.75,63.2,South Africa,Cape Town,17 Mar 1994,mcgrath
41,11,78,0,1.9,-,-,South Africa,Durban,25 Mar 1994,mcgrath
31,8,88,2,2.83,44,93,Pakistan,Karachi,28 Sep 1994,mcgrath
49.1,7,157,5,3.19,31.4,59,Pakistan,Lahore,1 Nov 1994,mcgrath
29,6,101,0,3.48,-,-,England,Brisbane,25 Nov 1994,mcgrath
38,10,128,6,3.36,21.33,38,England,Perth,3 Feb 1995,mcgrath
34.1,7,114,8,3.33,14.25,25.6,West Indies,Bridgetown,31 Mar 1995,mcgrath
26.1,7,79,1,3.01,79,157,West Indies,St John's,8 Apr 1995,mcgrath
27.5,12,69,6,2.47,11.5,27.8,West Indies,Port of Spain,21 Apr 1995,mcgrath
33,6,107,2,3.24,53.5,99,West Indies,Kingston,29 Apr 1995,mcgrath
39,10,109,5,2.79,21.8,46.8,Pakistan,Brisbane,9 Nov 1995,mcgrath
43.3,11,107,8,2.45,13.37,32.6,Pakistan,Hobart,17 Nov 1995,mcgrath
39.2,4,126,2,3.2,63,118,Pakistan,Sydney,30 Nov 1995,mcgrath
48,10,167,7,3.47,23.85,41.1,Sri Lanka,Perth,8 Dec 1995,mcgrath
57.3,15,132,7,2.29,18.85,49.2,Sri Lanka,Melbourne,26 Dec 1995,mcgrath
49.2,10,139,7,2.81,19.85,42.2,Sri Lanka,Adelaide,25 Jan 1996,mcgrath
36,12,86,2,2.38,43,108,India,Delhi,10 Oct 1996,mcgrath
50.5,19,92,6,1.8,15.33,50.8,West Indies,Brisbane,22 Nov 1996,mcgrath
48,16,118,7,2.45,16.85,41.1,West Indies,Sydney,29 Nov 1996,mcgrath
39,12,91,8,2.33,11.37,29.2,West Indies,Melbourne,26 Dec 1996,mcgrath
29,8,52,3,1.79,17.33,58,West Indies,Adelaide,25 Jan 1997,mcgrath
34,6,100,2,2.94,50,102,West Indies,Perth,1 Feb 1997,mcgrath
36,13,94,4,2.61,23.5,54,South Africa,Johannesburg,28 Feb 1997,mcgrath
35,10,109,3,3.11,36.33,70,South Africa,Port Elizabeth,14 Mar 1997,mcgrath
40.4,15,86,6,2.11,14.33,40.6,South Africa,Centurion,21 Mar 1997,mcgrath
39,9,149,2,3.82,74.5,117,England,Birmingham,5 Jun 1997,mcgrath
40.3,13,103,9,2.54,11.44,27,England,Lord's,19 Jun 1997,mcgrath
44.4,13,86,7,1.92,12.28,38.2,England,Manchester,3 Jul 1997,mcgrath
44,10,147,4,3.34,36.75,66,England,Leeds,24 Jul 1997,mcgrath
43.4,13,107,7,2.45,15.28,37.4,England,Nottingham,7 Aug 1997,mcgrath
38,9,109,7,2.86,15.57,32.5,England,The Oval,21 Aug 1997,mcgrath
49.2,12,128,7,2.59,18.28,42.2,New Zealand,Brisbane,7 Nov 1997,mcgrath
45,20,77,2,1.71,38.5,135,South Africa,Melbourne,26 Dec 1997,mcgrath
25,8,59,2,2.36,29.5,75,South Africa,Sydney,2 Jan 1998,mcgrath
41.5,9,107,4,2.55,26.75,62.7,Pakistan,Rawalpindi,1 Oct 1998,mcgrath
36,8,131,3,3.63,43.66,72,Pakistan,Peshawar,15 Oct 1998,mcgrath
43,17,106,5,2.46,21.2,51.6,Pakistan,Karachi,22 Oct 1998,mcgrath
50.2,17,115,7,2.28,16.42,43.1,England,Brisbane,20 Nov 1998,mcgrath
42,14,84,3,2,28,84,England,Perth,28 Nov 1998,mcgrath
35,4,98,6,2.8,16.33,35,England,Adelaide,11 Dec 1998,mcgrath
42.2,10,120,5,2.83,24,50.8,England,Melbourne,26 Dec 1998,mcgrath
27,7,75,3,2.77,25,54,England,Sydney,2 Jan 1999,mcgrath
24,6,78,10,3.25,7.8,14.4,West Indies,Port of Spain,5 Mar 1999,mcgrath
35.3,11,96,5,2.7,19.2,42.6,West Indies,Kingston,13 Mar 1999,mcgrath
77,18,220,9,2.85,24.44,51.3,West Indies,Bridgetown,26 Mar 1999,mcgrath
63.1,24,114,6,1.8,19,63.1,West Indies,St John's,3 Apr 1999,mcgrath
25,7,85,2,3.4,42.5,75,Sri Lanka,Kandy,9 Sep 1999,mcgrath
33.5,9,104,3,3.07,34.66,67.6,Sri Lanka,Galle,22 Sep 1999,mcgrath
10,3,25,1,2.5,25,60,Sri Lanka,Colombo (SSC),30 Sep 1999,mcgrath
54,19,90,6,1.66,15,54,Zimbabwe,Harare,14 Oct 1999,mcgrath
49,13,179,4,3.65,44.75,73.5,Pakistan,Brisbane,5 Nov 1999,mcgrath
45,16,121,3,2.68,40.33,90,Pakistan,Hobart,18 Nov 1999,mcgrath
40,8,93,7,2.32,13.28,34.2,Pakistan,Perth,26 Nov 1999,mcgrath
42,15,84,5,2,16.8,50.4,India,Adelaide,10 Dec 1999,mcgrath
35.1,11,61,3,1.73,20.33,70.3,India,Melbourne,26 Dec 1999,mcgrath
35.5,8,103,10,2.87,10.3,21.5,India,Sydney,2 Jan 2000,mcgrath
34.1,10,66,5,1.93,13.2,41,New Zealand,Auckland,11 Mar 2000,mcgrath
39.2,15,95,1,2.41,95,236,New Zealand,Wellington,24 Mar 2000,mcgrath
41.5,15,108,6,2.58,18,41.8,New Zealand,Hamilton,31 Mar 2000,mcgrath
33,21,27,10,0.81,2.7,19.8,West Indies,Brisbane,23 Nov 2000,mcgrath
37,9,74,4,2,18.5,55.5,West Indies,Perth,1 Dec 2000,mcgrath
45.5,15,110,3,2.4,36.66,91.6,West Indies,Adelaide,15 Dec 2000,mcgrath
25,13,25,0,1,-,-,West Indies,Melbourne,26 Dec 2000,mcgrath
43,11,123,4,2.86,30.75,64.5,West Indies,Sydney,2 Jan 2001,mcgrath
36.1,22,44,5,1.21,8.8,43.4,India,Mumbai,27 Feb 2001,mcgrath
53,20,121,7,2.28,17.28,45.4,India,Kolkata,11 Mar 2001,mcgrath
47.1,18,96,5,2.03,19.2,56.6,India,Chennai,18 Mar 2001,mcgrath
30.3,7,101,4,3.31,25.25,45.7,England,Birmingham,5 Jul 2001,mcgrath
43,13,114,8,2.65,14.25,32.2,England,Lord's,19 Jul 2001,mcgrath
29,7,80,5,2.75,16,34.8,England,Nottingham,2 Aug 2001,mcgrath
46.2,12,137,8,2.95,17.12,34.7,England,Leeds,16 Aug 2001,mcgrath
45.3,17,110,7,2.41,15.71,39,England,The Oval,23 Aug 2001,mcgrath
46,10,146,1,3.17,146,276,New Zealand,Brisbane,8 Nov 2001,mcgrath
27,12,46,2,1.7,23,81,New Zealand,Hobart,22 Nov 2001,mcgrath
44,15,135,2,3.06,67.5,132,New Zealand,Perth,30 Nov 2001,mcgrath
47,18,107,6,2.27,17.83,47,South Africa,Adelaide,14 Dec 2001,mcgrath
47,14,113,4,2.4,28.25,70.5,South Africa,Melbourne,26 Dec 2001,mcgrath
45,11,130,4,2.88,32.5,67.5,South Africa,Sydney,2 Jan 2002,mcgrath
26.3,10,49,8,1.84,6.12,19.8,South Africa,Johannesburg,22 Feb 2002,mcgrath
45,11,98,3,2.17,32.66,90,South Africa,Cape Town,8 Mar 2002,mcgrath
39,15,80,1,2.05,80,234,South Africa,Durban,15 Mar 2002,mcgrath
39.2,15,78,4,1.98,19.5,59,Pakistan,Colombo (PSS),3 Oct 2002,mcgrath
13,6,15,3,1.15,5,26,Pakistan,Sharjah,11 Oct 2002,mcgrath
23,6,59,7,2.56,8.42,19.7,Pakistan,Sharjah,19 Oct 2002,mcgrath
42,12,123,8,2.92,15.37,31.5,England,Brisbane,7 Nov 2002,mcgrath
47.2,17,118,5,2.49,23.6,56.8,England,Adelaide,21 Nov 2002,mcgrath
38,14,54,4,1.42,13.5,57,England,Perth,29 Nov 2002,mcgrath
35,10,85,2,2.42,42.5,105,England,Melbourne,26 Dec 2002,mcgrath
36,11,64,0,1.77,-,-,West Indies,Bridgetown,1 May 2003,mcgrath
42,16,94,3,2.23,31.33,84,West Indies,St John's,9 May 2003,mcgrath
23,6,45,4,1.95,11.25,34.5,Bangladesh,Darwin,18 Jul 2003,mcgrath
32.1,11,79,1,2.45,79,193,Bangladesh,Cairns,25 Jul 2003,mcgrath
31,13,61,7,1.96,8.71,26.5,Sri Lanka,Darwin,1 Jul 2004,mcgrath
50,17,110,3,2.2,36.66,100,Sri Lanka,Cairns,9 Jul 2004,mcgrath
45,18,94,6,2.08,15.66,45,India,Bangalore,6 Oct 2004,mcgrath
27,4,92,0,3.4,-,-,India,Chennai,14 Oct 2004,mcgrath
41,14,106,5,2.58,21.2,49.2,India,Nagpur,26 Oct 2004,mcgrath
28,15,64,3,2.28,21.33,56,India,Mumbai,3 Nov 2004,mcgrath
35,5,86,3,2.45,28.66,70,New Zealand,Brisbane,18 Nov 2004,mcgrath
32.1,5,98,6,3.04,16.33,32.1,New Zealand,Adelaide,26 Nov 2004,mcgrath
35,15,68,9,1.94,7.55,23.3,Pakistan,Perth,16 Dec 2004,mcgrath
39.2,13,89,5,2.26,17.8,47.2,Pakistan,Melbourne,26 Dec 2004,mcgrath
32.4,7,103,4,3.15,25.75,49,Pakistan,Sydney,2 Jan 2005,mcgrath
56,16,134,7,2.39,19.14,48,New Zealand,Christchurch,10 Mar 2005,mcgrath
20,6,60,4,3,15,30,New Zealand,Wellington,18 Mar 2005,mcgrath
50.2,25,89,7,1.76,12.71,43.1,New Zealand,Auckland,26 Mar 2005,mcgrath
35.1,7,82,9,2.33,9.11,23.4,England,Lord's,21 Jul 2005,mcgrath
45.5,7,201,5,4.38,40.2,55,England,Manchester,11 Aug 2005,mcgrath
53,8,157,5,2.96,31.4,63.6,England,The Oval,8 Sep 2005,mcgrath
18,7,42,3,2.33,14,36,ICC World XI,Sydney,14 Oct 2005,mcgrath
33,6,94,4,2.84,23.5,49.5,West Indies,Brisbane,3 Nov 2005,mcgrath
48,22,60,6,1.25,10,48,West Indies,Hobart,17 Nov 2005,mcgrath
48,11,131,3,2.72,43.66,96,West Indies,Adelaide,25 Nov 2005,mcgrath
42,14,98,1,2.33,98,252,South Africa,Perth,16 Dec 2005,mcgrath
42,16,101,4,2.4,25.25,63,South Africa,Melbourne,26 Dec 2005,mcgrath
